cns5_id,gj_id,component_id,n_components,primary_flag,gj_system_primary,gaia_edr3_id,hip_id,ra,dec,epoch,coordinates_bibcode,parallax,parallax_error,parallax_bibcode,pmra,pmra_error,pmdec,pmdec_error,pm_bibcode,rv,rv_error,rv_bibcode,g_mag,g_mag_error,bp_mag,bp_mag_error,rp_mag,rp_mag_error,g_mag_from_hip,g_mag_from_hip_error,g_rp_from_hip,g_rp_from_hip_error,g_mag_resulting,g_mag_resulting_error,g_rp_resulting,g_rp_resulting_error,g_rp_resulting_flag,j_mag,j_mag_error,h_mag,h_mag_error,k_mag,k_mag_error,jhk_mag_bibcode,w1_mag,w1_mag_error,w2_mag,w2_mag_error,w3_mag,w3_mag_error,w4_mag,w4_mag_error,wise_mag_bibcode
2303,11352,,,0,,638510247908168576,,139.06156640029164,21.664004305783944,2016.0,2020yCat.1350....0G,48.810001373291016,0.23,2018A&A...616A...1G,-200.3000030517578,0.30000001192092896,-43.279998779296875,0.23000000417232513,2018A&A...616A...1G,56.0,,2011AJ....141...97W,17.81427,0.002078115733977697,21.043919,0.14733977571996434,16.217262,0.005585830516195461,,,,,17.81427,0.002078115733977697,1.5970077514648438,0.005959871438165937,1,13.223,0.024,12.517,0.028,12.074,0.025,2003yCat.2246....0C,11.706,0.023,11.366,0.021,11.014,0.121,8.89,,2014yCat.2328....0C
2319,11357,,,0,,638558836873447040,,139.8334368279548,21.907548843313442,2016.0,2020yCat.1350....0G,41.13863074833164,0.06549877,2020yCat.1350....0G,-148.12952421652432,0.06595626473426819,-293.46985132735597,0.05009168013930321,2020yCat.1350....0G,,,,15.877205,0.000705533249008553,18.474007,0.02296770026950816,14.459071,0.0011440712954603391,,,,,15.877205,0.000705533249008553,1.4254634083820372,0.02303289288819495,0,12.225,0.022,11.637,0.024,11.349,0.022,2003yCat.2246....0C,11.129,0.023,10.903,0.021,10.543,0.095,8.732,,2014yCat.2328....0C
2334,11366,,,0,,639385875775807360,,140.78712017439904,23.669352592652185,2016.0,2020yCat.1350....0G,40.64464165619813,0.31611538,2020yCat.1350....0G,260.29292880022865,0.40978240966796875,-372.2081394044964,0.27376458048820496,2020yCat.1350....0G,-32.0,2.0,2015ApJS..220...18B,18.587542,0.0023082545038687965,20.995295,0.16201568331338398,16.965359,0.009610614150921137,,,,,18.587542,0.0023082545038687965,1.622182846069336,0.009883923472615325,1,13.849,0.029,13.161,0.032,12.807,0.024,2003yCat.2246....0C,12.412,0.024,12.162,0.022,11.554,0.249,8.795,,2014yCat.2328....0C
2347,11373,,,0,,646076953786745472,,142.2909780253123,25.968043197089518,2016.0,2020yCat.1350....0G,56.65958527021764,0.039101955,2020yCat.1350....0G,-1048.2211262241522,0.040389757603406906,-270.1442784993809,0.032826539129018784,2020yCat.1350....0G,,,,14.390027,0.0005074549050749632,16.650572,0.0038892608087054974,13.021128,0.001312777215805804,,,,,14.390027,0.0005074549050749632,1.3711979867446966,0.004305779099822862,0,10.906,0.023,10.31,0.023,9.958,0.018,2003yCat.2246....0C,9.74,0.023,9.547,0.02,9.349,0.037,8.582,,2014yCat.2328....0C
2316,3548,A,2,1,,694744636968134528,,139.69163947817106,26.75149127202737,2016.0,2020yCat.1350....0G,40.33969239610709,0.03095468,2020yCat.1350....0G,-196.6248494283042,0.02660815790295601,-353.4028302569699,0.02069788984954357,2020yCat.1350....0G,39.31056213378906,0.30165037512779236,2020yCat.1350....0G,10.800851,0.00038102940609566,11.975786,0.0011266246602088174,9.725915,0.0006379039143513343,,,,,10.800851,0.00038102940609566,1.0763156399223917,0.0018347219214189892,0,8.296,0.029,7.646,0.021,7.43,0.024,2003yCat.2246....0C,7.203,0.034,7.25,0.02,7.177,0.019,7.076,0.116,2014yCat.2328....0C
2315,3549,B,2,0,3548,694744465169442816,,139.6716163359922,26.762952562829483,2016.0,2020yCat.1350....0G,40.23803660918564,0.046491556,2020yCat.1350....0G,-194.22526449224367,0.042408738285303116,-353.062314629391,0.03305380418896675,2020yCat.1350....0G,,,,14.690151,0.000788648558424018,16.814095,0.0044591699225100525,13.350209,0.001317082873612958,,,,,14.690151,0.000788648558424018,1.3441492524384349,0.004827929545238091,0,11.269,0.022,10.619,0.024,10.291,0.016,2003yCat.2246....0C,10.094,0.023,9.929,0.02,9.739,0.05,8.839,,2014yCat.2328....0C
2314,3546,,,0,,694917878769233408,,139.58865228454928,27.310833670936205,2016.0,2020yCat.1350....0G,47.7555132421107,0.024511043,2020yCat.1350....0G,-204.47050635780846,0.02109430730342865,-164.7583876408575,0.01571269892156124,2020yCat.1350....0G,6.621594429016113,0.3814374804496765,2020yCat.1350....0G,8.960779,0.0003604629178558052,9.747764,0.0012893336082996179,8.096489,0.001053301049927329,,,,,8.960779,0.0003604629178558052,0.8655040617897507,0.0021123030689910306,0,7.022,0.021,6.406,0.017,6.238,0.018,2003yCat.2246....0C,6.202,0.085,6.143,0.025,6.19,0.015,6.122,0.056,2014yCat.2328....0C
2321,3552,,,0,,694072869723271296,,140.09582755499903,26.726194273557688,2016.0,2020yCat.1350....0G,53.286515092998386,0.03168086,2020yCat.1350....0G,896.2917934254615,0.02973395772278309,-544.9851333622704,0.022371547296643257,2020yCat.1350....0G,,,,14.077404,0.0005054058961637906,15.866566,0.003618794617549882,12.811077,0.0009002339890615732,,,,,14.077404,0.0005054058961637906,1.270560657027039,0.003949189248322966,0,11.073,0.025,10.571,0.023,10.29,0.02,2003yCat.2246....0C,10.104,0.023,9.901,0.02,9.699,0.053,8.302,,2014yCat.2328....0C
2351,11374,,,0,,694161724005809536,,142.5593534670913,26.506299209665414,2016.0,2020yCat.1350....0G,41.333348233691716,0.038083605,2020yCat.1350....0G,-154.22148355587203,0.035955760627985,-136.90530778541697,0.029723219573497772,2020yCat.1350....0G,,,,11.646923,0.0009023104281871008,13.057222,0.002312029068912582,10.462969,0.0013109776560649806,,,,,11.646923,0.0009023104281871008,1.1697188468702784,0.0029587397368133635,0,8.866,0.02,8.284,0.024,8.02,0.021,2003yCat.2246....0C,7.894,0.026,7.765,0.019,7.683,0.02,7.499,0.151,2014yCat.2328....0C
2311,340,,,0,,,45617,139.472596544088,28.56175078314791,1991.25,2007A&A...474..653V,57.91999816894531,0.76,2007A&A...474..653V,49.09,0.8600000143051147,-507.37,0.46000000834465027,2007A&A...474..653V,,,,,,,,,,6.960476724862289,0.08192764222621918,0.6129215868824955,0.13115177616399062,6.960477,0.08192764222621918,0.6129215868824955,0.13115177616399062,2,,,,,,,,,,,,,,,,
